Categorie;Inhoud 1;Inhoud 2;Inhoud 3;
Overig;Zeer asociaal, dominant en dreigend optreden van een tweetal toezichthouders van het team veiligheid openbaar vervoer. In het verlengede hiervan de algehele opstelling van het team dat op en rond het Amstelstation rondloopt. Er lopen hier een aantal heren rond die zich de baas van het station voelen en hier ook naar handelen. <br />In het specifieke geval van vandaag, bij de ingang naar de fietskelder moet je afstappen. Ik maak aanstalte om af te stappen en voordat ik daadwerkelijk af kan stappen wordt er door een tweetal toezichthouders gedreigd met een bekeuring, ik reageer hierop dat ik dit vreemd vind waarna ik door het tweetal achterna wordt gezeten (een liep op krukken, ook vreemd voor straatdienst), en ik wordt uitgescholden. Ik ben niet de enige bij wie dit gebeurd, andere fietsers worden ook uitgescholden en achterna gezeten.<br />Ik klaag niet snel maar ik vind dit een hele treurige gang van zaken, de hele sfeer rond het Amstel is ontzettend vervelend.;Het tweetal toezichthouders, maar in het verlengde de gehele situatie met het veiligheidsteam op en rondom het Amstelstation.;Dat er ook toezicht op de toezichthouders komt. Er lopen een aantal heren rond die zich de 'baas' van het Amstelstation en omliggende gebieden voelen. Naar deze houding wordt ook gehandeld, er wordt niet corrigerend maar bevelend opgetreden. Er wordt gescholden en er worden onjuiste vaststellingen gedaan. In plaats van, zoals de politie corrigeerd en handhaaft, wordt hier meteen met boetes en dreigementen geslingerd. Hier moet tegen op worden getreden.;
Belastingen;dear , we receive letters from you for the company Brazil en Zo - with adress rue capitaine crespel 18 - 1050 - brussels - belgium - and there is no company here at this name - please check your reference 3583483 - please note that at this adress there is the company  horeco sa - a belgian company and never there has been the company  ' brazil en zo vof' like you mention  - if you need you can contact us at +32 2 511 0292 or info@horeco.be - best regards;;;
Openbare ruimte;My bicycle was removed without warning when parked outside the Frederikhendrikstraat Albert Heijn. I parked it there on Sunday 23rd and went to pick it up this morning (25th) at 7am and it had been removed along with the parking rail it was attached to.;nee.;Provide compensation for the price of me to pick up the bicycle and for a new lock. Approximately 50;
Openbare ruimte;Dit is een test;;;
Openbare ruimte;in heel de beurt zijn geen enkele losse prullenbakken te vinden als mevr met haar hond loopt en het zakje wil opruimen dan kan zij het nergens kwijt <br />mevr heeft een mora melding gemaakt nr mora-0258696<br />mevr vind het niet netjes dat zij en meerdere buurtbewoners niet hun losse vuil kunnen deponeren en daar wel evt voor naar een container moeten lopen <br />mevr loopt met een rollator en moet een drukke straat over steken om bij een container te komen <br />dit doet zij liever niet omdat zij aan de straat kant liever wil lopen vanwege ook haar veiligheid ;std oost ;mevr hier over informeren WAAROM er geen prullenbakken komen en dat de mensen hun troep op straat moeten deponeren en dat er WEL prullebakken geplaats worden <br />ook al is het er maar 1 in elke straat ;
Overig;Op 22-10-14 tijdstip 14:12 is mij onterecht als burger<wbr />/bestuurder van een elektrische fiets op brute wijze een bekeuring geven. De werknemer van Handhaving was onbeschoft en onredelijk naar de burger toe.<br /><br />Voor zowel duidelijk is het pad onder het rijksmuseum gewoon een fietspad. En het bord die aangeeft dat het wel toegestaan is voor fietsers maar niet voor elektrische fietsen  staat aan de de kant van de weg waar je onmogelijk op kunt letten omdat je een gevaarlijk kruispunt aan het oversteken bent.<br /><br />We hebben duidelijk en openhartig aangegeven aan de onbeschofte medewerker van jullie dat we dit niet wisten en zonder opgaaf van reden of uitleg begon meneer al te schrijven. Op overige vragen werd niet of heel bot gereageerd. <br /><br />ik mag hopen dat dit niet het op deze deze manier getraind wordt in het Amsterdamse handhavingsbeleid. Wat manieren begrip is niet teveel gevraagd als burger.;De betreffende verbalisant;Ontslag medewerker...;
Parkeren;ik heb een koeriersbedrijf, ik krijg opdrachten van Postnl  en we werken met 5 grote bestelwagen in stadsdeel west (postcodes :1052,1054,1058) wij zijn van maandag t<wbr />/m zaterdag van 10:00 t<wbr />/m 20:00 uur aan  het pakketten bezorgen. Er zij meestal geen laad en los plekken in deze gebied. Alleen is er bij Overtoom maar ze zijn meestal vol omdat hier winkel straat is. Daarom moeten we soms stoep en parkeer vakken gebruiken. Wij zijn maximum 5 of 6 minuten bezig  per adres.  Volgens de wet mogen wij  paar minuten parkeer vakken gebruiken als er geen voldoende laad en los plek is. In deze postcodes zij er bijna geen plek. Daarna krijg ik boete van CITION. ik heb binnen 1 jaar 6 parkeer boete gekregen, terwijl ik aan het werk was. Ik heb bezwaar gedaan maar   Cition wil  niet terug  betalen. Ik verzoek u op grond van bovenstande redenen de beschikking te ver nietigen.<br />    ;Cition BV;Ik wil een ontheffing om stoep en parkeervakken te gebruikenen Betaalde boetes terug krijgen.;
Basisinformatie;Het betreft fact.nummer 21405500,kosten voor een kopie uitschrijving Gemeente,deze heb ik aangevraagd maar ondanks<br />2 x een e-mail nimmer ontvangen;;Alsnog een kopie uitschrijving sturen waarna ik de rekening,na<br />ontvangst van de kopie zal betalen;
Belastingen;Een onterechte inschakeling van een deurwaarder (invoned) en zeer slechte afwikkeling daarna m.b.t. aanslagnummer 32922679 en 32526632.;niet van ons is. Schandalig gewoon. Indien er weer kosten gevorderd worden, zullen wij onze gemaakte kosten in deze in rekening brengen aan de Gemeente.;OPLOSSEN!!!!! ;
Overig;Op 20 November j.l., omstreeks 15:30 uur werd ik aangehouden op de Raadhuisstraat door de handhaving, ik vroeg wat er aan de hand was want ik heb klanten in de taxi. ik werd gevraagd om ze achterna te rijden naar de taxi staanplaats Spuistraat.<br />Daar aangekomen werd mij verteld dat ik een klant had geweigerd, ik werd razend aangezien de handhaver die dit verhaal heeft doorgegeven aan zijn collega's niet op de staanplaats aanwezig was. Wel was de taxi host aanwezig en die heeft juiste melding gemaakt van het gebeuren en dat is dat mijn accu van de telefoon leeg was en zodoende geen creditcard kon accepteren. ik had nog op de zelfde dag een oplader gekocht en heb de oplader en bon en de taxi host laten zien. en de rit kon ik niet weigeren omdat het een rit naar schiphol was eerst moeste de dames naar hun hotel en vervolgens naar schiphol. DAT IS EEN RIT VAN 70 EURO. dat weiger niemand en overigens ik heb nog nooit een rit geweigerd ook al is het een rit van een paar honderd meter.    ;Taxi host;Hoorzitting met des betreffende ambtenaar, Ik snap niet waarom de handhaver niet eerst bij de taxi host is gaan informeren over wat er aan de hand was voor dat hij zijn eigen conclussie trok en ik achterna werd gezeten als een crimineel. Ik wil graag in gesprek met deze ambtenaar en de taxi host die mijn getuige is Ambtenaar handhaving werknummer: 43123 of 543123;
Parkeren;Het gaat om een klacht over de klachtbehandeling van stadsdeel Zuid, die niet heeft gereageerd op mijn klacht die ik 16 oktober bij hun heb ingediend (zaaknummer Z-14-19472).<br />;De contactpersoon van stadsdeel Zuid was mevrouw de Zoete (het dossiernummer is 79-962393).;Ik wil een volledige financiele vergoeding van de kosten die in heb betaald voor de parkeervergunning.;
Openbare ruimte;Al een aantal maanden zijn er werkzaamheden in de Wielingenstraat. Het gaat om werkzaamheden inverband met de Noord-Zuid lijn, en werkzaamheden aan de Rai. Meneer woont hier in de buurt en heeft erg veel last van de geluidsoverlast. Meneer kan soms niet slapen omdat het 's avonds plaatsvindt. Meneer heeft het gevoel dat hij er gek van wordt omdat er zoveel geluid is elke dag, vooral van de grote machines. Meneer is al op leeftijd (77 jaar oud). ;Iedereen die zich bezig houdt met de werkzaamheden bij meneer in de buurt. ;Dat het stopt, ze zijn al zo lang bezig. Anders wil meneer graag op een andere manier worden gecompenseerd.;
Overig;Op 24-11-2014 heb ik geparkeerd op het P+R terrein van Sloterdijk vanaf ca. 12.30 uur tot 15.45 uur. Vanaf Sloterdijk zijn wij met de tram lijn 12 en 14 naar het centrum van de stad gereisd en later weer terug met de tram. Volgens uw informatie zou ik dan voor  1 mogen  parkeren na het scannen van mijn OV chipkaart nr. 3528 0200 6634 0758.<br />Tot mijn verbazing moest ik echter  5,60 betalen. Ter plekke kon ik geen verhaal halen want de ruimte waar de beheerder zou moeten zitten was onbezet. Ik voelde mij zwaar bela..... en was zeer gefrustreerd.;zie boven;Het verschil tussen  de betaalde  5,60 en de verschuldigde  1 terug betalen.;
14020;Een attestatie de vita kan sinds kort niet meer online worden aangevraagd, dat kon vroeger wel! Ik ontvang pensioen van 2  verschillende pensioenfondsen in Frankrijk, en ik moet nu dus 2 x per jaar persoonlijk naar het loket burgerzaken voor het verkrijgen van een attestatie de vita. Ik vind dat bezwaarlijk, en ik wil graag dat u weer de mogelijkheid  creeert om deze attestatie online aan te vragen, zoals dat tot 2013 ook kon. De aanvraag werd behandeld door uw bureau GEO, en ik ontving die attestatie binnen een paar dagen thuis.;Nee.;Op uw website de mogelijkheid herstellen om online een attestatie de vita aan te vragen, die dan per post naar jhet huisadres wordt opgestuurd. ;
Parkeren;Op onterechte informatie wordt mijn parkeervergunning ingetrokken. In de brief aan mij verzonden wordt gesteld dat ik beschik over een stallingsplaats, wat niet het geval is.<br /><br />Het enige wat mij rest is een bezwaarprocedure die me veel tijd kost.;In de brief aan mij verzonden is niet duidelijk wie heeft vastgesteld dat ik een parkeerplaats<wbr />/stalling zou hebben.;Een zorgvuldige controle op de informatie doen, ipv burgers lastig vallen met informatie die niet klopt, daar vervolgens besluiten opnemen, en de burger opzadelen met onnodig werk.<br /><br />Ik heb al eerder aan Cition en deelraad Oost aangegeven dat ik niet beschik over een inpandige garage of andere stallingsplaats.;
14020;Mijn vraag is waarom er mooie grote en oude populieren worden gekapt aan de Jan van Galenstraat (stadsdeel West), en wat daar tegen te doen is.<br />Ik heb gebeld, en werd tegen mijn zin doorverbonden met stadsdeel Nieuw-West. Ik heb duidelijk en meermaals gezegd dat het West is, niet Nieuw-West. Volgens de computer van dew dame was het echter Nieuw-West.<br />Nieuw-West meldde meteen dat het West betreft en verbond me vervolgens door met een niet bestaand nummer dat een bandje opleverde dat adviseerde een nummer voor EUR 1,20 per minuut te bellen, waarna de verbinding werd verbroken.<br />Nogmaals gebeld, lang gewacht, en uiteindelijk West aan de lijn gekregen. Ik zou worden teruggebeld. Ik ben niet teruggebeld. Intussen gaat het kappen door. Moet ik soms 112 bellen?;Twee telefonistes en de zagers.;Stoppen met zagen, uitleggen wat er gebeurt en waarom, communicatie op orde brengen, beter luisteren.;
Parkeren;Daar ik zal meer dan 4 maanden bezig ben met parkeergebouwen  over de lekkage in  mijn garage box en het nog steeds niet is opgelost. Steeds krijg ik te horen binnen een week nemen wij contact op of binnen een week is het opgelost. Tot op heden nog steeds niks geen terugkoppeling  geen telefoontje  geen oplossing.;;De lekkage oplossen ;
Belastingen;Dear Sir or Madam,<br />I am writing to you because you are charging me for a 'late' payment. However due to the circumstances around the late payment I believe I should not be charged for this. I have had previous correspondence with you where it was stated I would not be receiving any more bills and therefore I have not updated you with my new address and as a consequence I have only just received the bill. <br /><br />Dear Mrs Gaughran,<br /> <br />I have received your message dated 29<wbr />/9<wbr />/14.<br /> <br />I can confirm that you were deregistered from Amsterdam on 19-07-2014.<br /> <br />The bill you received was for the period 10-03-2014 up until 19-07-2014. You will not receive any more bills from Dienst Gemeentelijke Belastingen in the future.<br /> <br />Questions?<br />If you have further questions? Please dial +31 20 624 1111, the number of Gemeente Amsterdam (from 08.00 till 18.00 from Mondays untill Fridays). Or send an e-mail via<br />the contact form.<br /> <br />With kind regards,<br /> <br /> <br />Marja Gillissen <br />Medewerker Contact Center<br />;;;
Openbare ruimte;Het ontbreken van stoeptegels op stoep Gustav Mahlerlaan voor het nieuwbouw gebouw van Deloitte;Nee;Schade vergoeden van telefoon, die schade is het grootst. <br />Daarnaast is mijn broek beschadigd + lelijke schaafwond aan mijn been.;
Belastingen;Ik heb 30-9 contact opgenomen met de dienst belastingen Amsterdam, dit i.v.m. de door u opgelegde aanslag voor een spandoek wat wij hadden opgehangen bij de kavel van onze nieuwbouw. <br /><br />Ik vind het ongelofelijk en te belachelijk voor woorden dat wij hiervoor een aanslag krijgen opgelegd, afgezien van het feit dat deze dan ook nog niet eens correct is. De gemeente zou blij moeten zijn met ondernemers die willen en kunnen investeren in nieuwbouw in Amsterdam.  <br />In plaats daarvan wordt er door een overijverige ambtenaar meteen een uiting van reclame herkend en volgt daarop een aanslag. <br />Mocht u de aanslag niet nietig verklaren, dan verwacht ik wel een aanslag met daarop de correcte bedragen vermeld.<br />Nummer 1 zone c is voor 4 meter lengte is dus 4x  4,86 =   19,44  ( betalen dus meteen voor een heel jaar)<br />Hierbij wil ik gelijk dan ook bezwaar aantekenen voor de belasting die wij dus betalen voor ons naambord op het huidige pand. <br />Aanslag 98507625 groot  39,36;Nee;Antwoorden;
Openbare ruimte;Klacht over Stadsreiniging stadsdeel centrum en over de handhaving huisvuil. De klacht: Huisvuil was op een plek niet opgehaald. Er was een grote berg blijven liggen (circa 30 vuilniszakken) 10 kratten, en een nokvolle vuilnisbak bij Marnixstraat Ghetto Projects. Ik kreeg maandag ochtend (08:30 uur) procesverbaal omdat ze dachten dat ik de vuilnis builten had gezet op zondag en als gevolg hiervan nog meer klachten over functioneren ambtenaren. Ze hebben mij klakkeloos de boete uitgeschreven en politie met pistolen aan (niet in) de hand stonden voor mijn deur. Ze hebben mij tevens wakker gebeld die ochtend. Verdere klachten zware slapeloosheids klachten en psychoses, psychiatrische klachten en zware doodsangsten;handhaving huisvuil direct. Als gevolg van fout stadsreiniging en later ook nog politie. ;managen en bemiddelen om zo snel mogelijk de lucht te klaren en mij schadevergoeding te geven;
Overig;Ik heb een uitnodiging binnen gekregen dat de nieuwe eigenaar van het oude riagg gebouw aan de fizeaustraat 2 bewoners wil toelichten over hun plannen er een hotel<wbr />/restaurant van te maken. Er staat al een nieuwe casa 2000 in de buurt, er komt een mega hoteltoren bij amstelstation en nu in een woonwijk ook nog een hotel!;;Mag het zomaar ineens volgestampt worden met hotels? Kan dit nog tegen gehouden worden? Ik vindt het namelijk totaal niet gepast om in een woonwijkje, een hotel te situeren.;
Parkeren;plaatsing verkeersbord verboden te parkeren . Waar moet ik nu mij auto zetten?;geen idee wie dat bord geplaatst heeft;bord weghalen want we hebben die parkeerplekken nodig;
Openbare ruimte;medewerkers van de vuilnisophaaldienst lachten luid een travestiet uit. onbeschoft gedrag. ;medewerkers van ve vuilnisophaaldienst;disciplinegesprek met medewerkers, dat het gedrag niet kan als ambtenaar .;
Werk en inkomen;Klant voelt zich niet geholpen sinds hij bij Fibu zit. Schulden lopen hierdoor op. Afgelopen maandag heeft meneer stapel administratie meegenomen, maar het heeft geen zin. Ook hing budgetconsulent hing zojuist de telefoon op tijdens het gesprek;Budgetconsulent Serge Cornelisse<br />;Meneer wil zelf budget beheren en uit de Fibu;
